LOG CRIADO EM: 8/10/2014 22:6:15
ENVIANDO PROGRAMAÇÃO:
020100017F0300 --><-- ACK
02020400FFFFFFF07F0309 --><-- ACK
02030401FFFFFFF07F0309 --><-- ACK
02040402FFFFFFF07F030D --><-- ACK
02050403000000017F0303 --><-- ACK
02060404FFFFFFF07F0309 --><-- ACK
02070405FFFFFFF07F0309 --><-- ACK
02080406FFFFFFF07F0305 --><-- ACK
02090407000000007F030A --><-- ACK
020A0408000000007F0306 --><-- ACK
020B0409000000027F0304 --><-- ACK
020C040A000000007F0302 --><-- ACK
020D040BFFFFFFFF7F0302 --><-- ACK
020E040CFFFFFFFF7F0306 --><-- ACK
020F01FFF1FFFFFFF100000000FFFFFFFB7F030A --><-- ACK
021001FFF2FFFFFFF200000000FFFFFFFB7F0315 --><-- ACK
021101FFF3FFFFFFF300000000FFFFFFFB7F0314 --><-- ACK
021201FFF4FFFFFFF400000000FFFFFFFB7F0317 --><-- ACK
021301FFF5FFFFFFF500000000FFFFFFFB7F0316 --><-- ACK
021401FFF6FFFFFFF600000000FFFFFFFB7F0311 --><-- ACK
021501FFF7FFFFFFF700000000FFFFFFFB7F0310 --><-- ACK
021601FFF8FFFFFFF800000000FFFFFFFB7F0313 --><-- ACK
021701FFF9FFFFFFF900000000FFFFFFFB7F0312 --><-- ACK
021801FF10FFFFFF1000000000FFFFFFFB7F031D --><-- ACK
021901FF11FFFFFF1100000000FFFFFFFB7F031C --><-- ACK
021A01FF12FFFFFF1200000000FFFFFFFB7F031F --><-- ACK
021B01FF13FFFFFF1300000000FFFFFFFB7F031E --><-- ACK
021C01FF14FFFFFF1400000000FFFFFFFB7F0319 --><-- ACK
021D01FF15FFFFFF1500000000FFFFFFFB7F0318 --><-- ACK
021E01FF16FFFFFF1600000000FFFFFFFB7F031B --><-- ACK
021F01FF17FFFFFF1700000000FFFFFFFB7F031A --><-- ACK
022001FF18FFFFFF1800000000FFFFFFFB7F0325 --><-- ACK
022101FF19FFFFFF1900000000FFFFFFFB7F0324 --><-- ACK
022201FF20FFFFFF2000000000FFFFFFFB7F0327 --><-- ACK
022301FF21FFFFFF2100000000FFFFFFFB7F0326 --><-- ACK
022401FF22FFFFFF2200000000FFFFFFFB7F0321 --><-- ACK
022501FF23FFFFFF2300000000FFFFFFFB7F0320 --><-- ACK
022601FF24FFFFFF2400000000FFFFFFFB7F0323 --><-- ACK
022701FF25FFFFFF2500000000FFFFFFFB7F0322 --><-- ACK
022801FF26FFFFFF2600000000FFFFFFFB7F032D --><-- ACK
022901FF27FFFFFF2700000000FFFFFFFB7F032C --><-- ACK
022A01FF28FFFFFF2800000000FFFFFFFB7F032F --><-- ACK
022B01FF29FFFFFF2900000000FFFFFFFB7F032E --><-- ACK
022C01FF30FFFFFF3000000000FFFFFFFB7F0329 --><-- ACK
